営業日,営業,並盛個数,レディース個数,大盛個数,来客数計,売上計,リピート計,11~12,12~13,13~14,14~15,17~18,18~19,19~20,20~21,21~,チケ利用,同伴,Makuake,天気,客単価,曜日,月,週,年
 11月 26 (土),休み,,,,,,,,,,,,,,,,,,,,, 6.土曜日,11,48,2016
 11月 27 (日),一日,,,,85,83800,22,17,17,19,17,5,3,4,7,0,4,0,0,3. 曇り雨,986, 7.日曜日,11,49,2016
 11月 28 (月),一日,,,,63,61300,32,10,20,9,1,7,5,4,4,2,0,0,0,1. 晴れ,973, 1.月曜日,11,49,2016
 11月 29 (火),一日,,,,85,82650,45,15,24,16,8,2,5,5,10,0,0,0,0,1. 晴れ,972, 2.火曜日,11,49,2016
 11月 30 (水),一日,,,,92,91450,48,13,15,10,12,11,10,8,4,10,0,0,0,1. 晴れ,994, 3.水曜日,11,49,2016
 12月 1 (木),一日,,,,81,78950,44,8,23,18,5,3,7,8,4,5,0,0,0,2. 曇り,975, 4.木曜日,12,49,2016
 12月 2 (金),一日,,,,73,70650,14,8,16,4,4,8,9,12,10,6,0,0,0,1. 晴れ,968, 5.金曜日,12,49,2016
 12月 3 (土),休み,,,,,,,,,,,,,,,,,,,,, 6.土曜日,12,49,2016
 12月 4 (日),一日,,,,113,113150,19,19,25,15,21,6,8,6,10,13,4,0,1,1. 晴れ,1001, 7.日曜日,12,50,2016
 12月 5 (月),一日,,,,86,84900,23,11,15,22,6,3,12,11,4,9,4,0,1,1. 晴れ,987, 1.月曜日,12,50,2016
 12月 6 (火),一日,,,,64,63050,32,8,23,9,6,3,5,2,6,3,0,0,0,1. 晴れ,985, 2.火曜日,12,50,2016
 12月 7 (水),一日,,,,74,71650,48,20,13,4,6,4,5,12,0,10,0,0,0,1. 晴れ,968, 3.水曜日,12,50,2016
 12月 8 (木),一日,,,,91,89000,56,10,20,10,6,4,11,7,12,10,0,0,0,1. 晴れ,978, 4.木曜日,12,50,2016
 12月 9 (金),一日,,,,68,64100,22,14,19,7,6,4,3,1,1,12,0,0,0,1. 晴れ,943, 5.金曜日,12,50,2016
 12月 10 (土),休み,,,,,,,,,,,,,,,,,,,,, 6.土曜日,12,50,2016
 12月 11 (日),一日,,,,100,102500,56,17,23,10,12,4,13,12,8,3,2,0,0,1. 晴れ,1025, 7.日曜日,12,51,2016
 12月 12 (月),一日,,,,75,74500,48,9,17,10,9,4,1,10,9,5,0,0,0,1. 晴れ,993, 1.月曜日,12,51,2016
 12月 13 (火),一日,,,,83,81850,55,12,18,9,18,4,5,7,9,1,0,0,0,2. 曇り,986, 2.火曜日,12,51,2016
 12月 14 (水),一日,,,,71,67000,44,8,21,15,4,5,2,6,9,4,0,0,1,1. 晴れ,944, 3.水曜日,12,51,2016
 12月 15 (木),一日,,,,76,75300,43,8,20,11,3,3,7,13,6,5,3,0,0,1. 晴れ,991, 4.木曜日,12,51,2016
 12月 16 (金),一日,,,,75,73250,52,14,14,16,2,3,5,9,10,3,0,0,0,1. 晴れ,977, 5.金曜日,12,51,2016
 12月 17 (土),休み,,,,,,,,,,,,,,,,,,,,, 6.土曜日,12,51,2016
 12月 18 (日),一日,,,,100,97500,48,17,16,12,15,15,5,16,3,2,0,0,0,1. 晴れ,975, 7.日曜日,12,52,2016
 12月 19 (月),一日,,,,69,67050,36,10,18,12,1,4,4,5,8,7,0,0,0,1. 晴れ,972, 1.月曜日,12,52,2016
 12月 20 (火),一日,,,,79,78150,54,6,24,13,0,5,9,6,6,10,0,0,0,1. 晴れ,989, 2.火曜日,12,52,2016
 12月 21 (水),一日,,,,68,68100,47,12,19,12,5,2,6,3,6,6,0,0,0,1. 晴れ,1001, 3.水曜日,12,52,2016
 12月 22 (木),一日,,,,57,54450,25,6,20,9,2,4,0,8,10,0,0,0,0,3. 曇り雨,955, 4.木曜日,12,52,2016
 12月 23 (金),一日,,,,90,89650,41,20,24,23,5,6,4,0,3,5,0,0,0,1. 晴れ,996, 5.金曜日,12,52,2016
 12月 24 (土),休み,,,,,,,,,,,,,,,,,,,,, 6.土曜日,12,52,2016
 12月 25 (日),一日,,,,69,68350,28,7,12,20,9,8,2,7,4,1,,,,1. 晴れ,991, 7.日曜日,12,53,2016
 12月 26 (月),一日,,,,75,73000,42,13,19,12,5,4,9,8,8,1,2,2,0,1. 晴れ,973, 1.月曜日,12,53,2016
 12月 27 (火),一日,,,,69,67150,55,10,22,6,11,4,2,6,8,1,0,0,0,4. 雨,973, 2.火曜日,12,53,2016
 12月 28 (水),一日,,,,58,56400,24,17,23,18,0,,,,,,0,0,0,1. 晴れ,972, 3.水曜日,12,53,2016
 12月 29 (木),休み,,,,,,0,,,,,,,,,,,,,,, 4.木曜日,12,53,2016
 12月 30 (金),休み,,,,,,0,,,,,,,,,,,,,,, 5.金曜日,12,53,2016
 12月 31 (土),休み,,,,,,,,,,,,,,,,,,,,, 6.土曜日,12,53,2016
 1月 1 (日),休み,,,,,,0,,,,,,,,,,,,,,, 7.日曜日,1,1,2017
 1月 2 (月),休み,,,,,,0,,,,,,,,,,,,,,, 1.月曜日,1,1,2017
 1月 3 (火),休み,,,,,,0,,,,,,,,,,,,,,, 2.火曜日,1,1,2017
 1月 4 (水),一日,,,,98,95600,53,19,24,17,12,3,11,8,4,0,0,0,0,1. 晴れ,976, 3.水曜日,1,1,2017
